RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,8/31/2020
97099,6167,93023,Zip,CA,CA,Ojai,Oxnard-Thousand Oaks-Ventura,Ventura County,702304
96230,6186,90746,Zip,CA,CA,Carson,Los Angeles-Long Beach-Anaheim,Los Angeles County,633880
97836,6205,94702,Zip,CA,CA,Berkeley,San Francisco-Oakland-Hayward,Alameda County,1071081
96116,6223,90265,Zip,CA,CA,Malibu,Los Angeles-Long Beach-Anaheim,Los Angeles County,3733448
98252,6271,95519,Zip,CA,CA,McKinleyville,Eureka-Arcata-Fortuna,Humboldt County,362142
96508,6283,91768,Zip,CA,CA,Pomona,Los Angeles-Long Beach-Anaheim,Los Angeles County,468205
96366,6293,91340,Zip,CA,CA,San Fernando,Los Angeles-Long Beach-Anaheim,Los Angeles County,541481
98410,6299,95746,Zip,CA,CA,Granite Bay,Sacramento--Roseville--Arden-Arcade,Placer County,836300
96100,6306,90240,Zip,CA,CA,Downey,Los Angeles-Long Beach-Anaheim,Los Angeles County,665379
96270,6333,91010,Zip,CA,CA,Duarte,Los Angeles-Long Beach-Anaheim,Los Angeles County,589419
96648,6356,92106,Zip,CA,CA,San Diego,San Diego-Carlsbad,San Diego County,1244127
96800,6386,92316,Zip,CA,CA,Bloomington,Riverside-San Bernardino-Ontario,San Bernardino County,379389
97058,6399,92860,Zip,CA,CA,Norco,Riverside-San Bernardino-Ontario,Riverside County,596982
97691,6425,94301,Zip,CA,CA,Palo Alto,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3999655
98145,6456,95367,Zip,CA,CA,Riverbank,Modesto,Stanislaus County,359613
96438,6469,91506,Zip,CA,CA,Burbank,Los Angeles-Long Beach-Anaheim,Los Angeles County,902872
96478,6475,91731,Zip,CA,CA,El Monte,Los Angeles-Long Beach-Anaheim,Los Angeles County,538307
97581,6496,94127,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,1801257
98316,6513,95620,Zip,CA,CA,Dixon,Vallejo-Fairfield,Solano County,456509
96103,6513,90245,Zip,CA,CA,El Segundo,Los Angeles-Long Beach-Anaheim,Los Angeles County,1496516
98046,6533,95212,Zip,CA,CA,Stockton,Stockton-Lodi,San Joaquin County,416043
96900,6565,92532,Zip,CA,CA,Lake Elsinore,Riverside-San Bernardino-Ontario,Riverside County,430228
96282,6566,91040,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,702372
96940,6572,92603,Zip,CA,CA,Irvine,Los Angeles-Long Beach-Anaheim,Orange County,1668330
96042,6578,90061,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,469488
97513,6584,94022,Zip,CA,CA,Los Altos,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3874984
97819,6591,94618,Zip,CA,CA,Oakland,San Francisco-Oakland-Hayward,Alameda County,1734972
98200,6608,95437,Zip,CA,CA,Fort Bragg,Ukiah,Mendocino County,429437
96707,6676,92173,Zip,CA,CA,San Diego,San Diego-Carlsbad,San Diego County,531193
97769,6681,94563,Zip,CA,CA,Orinda,San Francisco-Oakland-Hayward,Contra Costa County,2219517
97563,6684,94108,Zip,CA,CA,San Francisco,San Francisco-Oakland-Hayward,San Francisco County,3039925
96092,6686,90222,Zip,CA,CA,Compton,Los Angeles-Long Beach-Anaheim,Los Angeles County,443906
97770,6687,94564,Zip,CA,CA,Pinole,San Francisco-Oakland-Hayward,Contra Costa County,674282
96598,6716,92029,Zip,CA,CA,Escondido,San Diego-Carlsbad,San Diego County,779244
97027,6729,92808,Zip,CA,CA,Anaheim,Los Angeles-Long Beach-Anaheim,Orange County,864805
98186,6752,95422,Zip,CA,CA,Clearlake,Clearlake,Lake County,171191
96097,6767,90232,Zip,CA,CA,Culver City,Los Angeles-Long Beach-Anaheim,Los Angeles County,1607238
96928,6792,92585,Zip,CA,CA,Menifee,Riverside-San Bernardino-Ontario,Riverside County,396951
96322,6793,91203,Zip,CA,CA,Glendale,Los Angeles-Long Beach-Anaheim,Los Angeles County,754278
96135,6794,90303,Zip,CA,CA,Inglewood,Los Angeles-Long Beach-Anaheim,Los Angeles County,639581
98003,6804,95135,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1435397
98114,6857,95330,Zip,CA,CA,Lathrop,Stockton-Lodi,San Joaquin County,454212
97126,6867,93103,Zip,CA,CA,Santa Barbara,Santa Maria-Santa Barbara,Santa Barbara County,1346373
97887,6890,94949,Zip,CA,CA,Novato,San Francisco-Oakland-Hayward,Marin County,1007985
97472,6891,93907,Zip,CA,CA,Salinas,Salinas,Monterey County,615963
96871,6894,92411,Zip,CA,CA,San Bernardino,Riverside-San Bernardino-Ontario,San Bernardino County,282083
96632,6954,92082,Zip,CA,CA,Valley Center,San Diego-Carlsbad,San Diego County,651743
98298,6958,95602,Zip,CA,CA,Auburn,Sacramento--Roseville--Arden-Arcade,Placer County,518886
96474,6981,91723,Zip,CA,CA,Covina,Los Angeles-Long Beach-Anaheim,Los Angeles County,594069
97079,7006,92887,Zip,CA,CA,Yorba Linda,Los Angeles-Long Beach-Anaheim,Orange County,995203
96880,7013,92501,Zip,CA,CA,Riverside,Riverside-San Bernardino-Ontario,Riverside County,384219
96756,7030,92251,Zip,CA,CA,Imperial,El Centro,Imperial County,275511
97785,7035,94579,Zip,CA,CA,San Leandro,San Francisco-Oakland-Hayward,Alameda County,734897
98672,7076,96161,Zip,CA,CA,Truckee,Truckee-Grass Valley,Nevada County,716202
96398,7091,91384,Zip,CA,CA,Castaic,Los Angeles-Long Beach-Anaheim,Los Angeles County,607212
96271,7111,91011,Zip,CA,CA,La Canada Flintridge,Los Angeles-Long Beach-Anaheim,Los Angeles County,1748059
97208,7117,93280,Zip,CA,CA,Wasco,Bakersfield,Kern County,212079
96171,7122,90603,Zip,CA,CA,Whittier,Los Angeles-Long Beach-Anaheim,Los Angeles County,641402
97528,7153,94041,Zip,CA,CA,Mountain View,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1988349
98048,7158,95215,Zip,CA,CA,Garden Acres,Stockton-Lodi,San Joaquin County,295629
97727,7172,94519,Zip,CA,CA,Concord,San Francisco-Oakland-Hayward,Contra Costa County,598833
98558,7194,96022,Zip,CA,CA,Cottonwood,Red Bluff,Tehama County,290080
96957,7196,92625,Zip,CA,CA,Newport Beach,Los Angeles-Long Beach-Anaheim,Orange County,3347780
96395,7207,91381,Zip,CA,CA,Santa Clarita,Los Angeles-Long Beach-Anaheim,Los Angeles County,858077
96136,7212,90304,Zip,CA,CA,Inglewood,Los Angeles-Long Beach-Anaheim,Los Angeles County,610870
97883,7225,94945,Zip,CA,CA,Novato,San Francisco-Oakland-Hayward,Marin County,880175
96586,7238,92014,Zip,CA,CA,Del Mar,San Diego-Carlsbad,San Diego County,2074056
96129,7239,90293,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,1787783
97978,7252,95110,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,889768
96490,7266,91746,Zip,CA,CA,West Puente Valley,Los Angeles-Long Beach-Anaheim,Los Angeles County,529906
98144,7280,95366,Zip,CA,CA,Ripon,Stockton-Lodi,San Joaquin County,508104
95994,7283,90013,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,771678
98426,7304,95817,Zip,CA,CA,Sacramento,Sacramento--Roseville--Arden-Arcade,Sacramento County,419770
96847,7318,92377,Zip,CA,CA,Rialto,Riverside-San Bernardino-Ontario,San Bernardino County,446629
98649,7318,96130,Zip,CA,CA,Susanville,Susanville,Lassen County,182782
97063,7334,92865,Zip,CA,CA,Orange,Los Angeles-Long Beach-Anaheim,Orange County,749281
96583,7339,92010,Zip,CA,CA,Carlsbad,San Diego-Carlsbad,San Diego County,818269
97433,7397,93725,Zip,CA,CA,Fresno,Fresno,Fresno County,219455
97051,7407,92844,Zip,CA,CA,Garden Grove,Los Angeles-Long Beach-Anaheim,Orange County,671590
96119,7422,90270,Zip,CA,CA,Maywood,Los Angeles-Long Beach-Anaheim,Los Angeles County,469060
97092,7437,93013,Zip,CA,CA,Carpinteria,Santa Maria-Santa Barbara,Santa Barbara County,1157822
97133,7446,93111,Zip,CA,CA,Santa Barbara,Santa Maria-Santa Barbara,Santa Barbara County,1042671
96088,7464,90212,Zip,CA,CA,Beverly Hills,Los Angeles-Long Beach-Anaheim,Los Angeles County,3417131
97510,7466,94019,Zip,CA,CA,Half Moon Bay,San Francisco-Oakland-Hayward,San Mateo County,1332101
98557,7483,96021,Zip,CA,CA,Corning,Red Bluff,Tehama County,219742
97132,7488,93110,Zip,CA,CA,Santa Barbara,Santa Maria-Santa Barbara,Santa Barbara County,1368541
96137,7510,90305,Zip,CA,CA,Inglewood,Los Angeles-Long Beach-Anaheim,Los Angeles County,681622
98241,7533,95490,Zip,CA,CA,Willits,Ukiah,Mendocino County,305378
97839,7545,94705,Zip,CA,CA,Berkeley,San Francisco-Oakland-Hayward,Alameda County,1892179
96403,7552,91390,Zip,CA,CA,Santa Clarita,Los Angeles-Long Beach-Anaheim,Los Angeles County,698675
96323,7579,91204,Zip,CA,CA,Glendale,Los Angeles-Long Beach-Anaheim,Los Angeles County,789781
96293,7589,91105,Zip,CA,CA,Pasadena,Los Angeles-Long Beach-Anaheim,Los Angeles County,1523135
97301,7617,93514,Zip,CA,CA,Bishop,,Inyo County,419721
96628,7618,92075,Zip,CA,CA,Solana Beach,San Diego-Carlsbad,San Diego County,1718183
97713,7622,94503,Zip,CA,CA,American Canyon,Napa,Napa County,599338
96215,7662,90715,Zip,CA,CA,Lakewood,Los Angeles-Long Beach-Anaheim,Los Angeles County,612829
96327,7708,91208,Zip,CA,CA,Glendale,Los Angeles-Long Beach-Anaheim,Los Angeles County,1153573
98514,7730,95963,Zip,CA,CA,Orland,,Glenn County,267585
96538,7740,91901,Zip,CA,CA,Alpine,San Diego-Carlsbad,San Diego County,687099
97375,7741,93630,Zip,CA,CA,Kerman,Fresno,Fresno County,270348
98423,7744,95814,Zip,CA,CA,Sacramento,Sacramento--Roseville--Arden-Arcade,Sacramento County,628547
98265,7756,95540,Zip,CA,CA,Fortuna,Eureka-Arcata-Fortuna,Humboldt County,330107
97357,7761,93610,Zip,CA,CA,Chowchilla,Madera,Madera County,261928
96160,7767,90502,Zip,CA,CA,West Carson,Los Angeles-Long Beach-Anaheim,Los Angeles County,618022
97194,7797,93263,Zip,CA,CA,Shafter,Bakersfield,Kern County,230179
96824,7800,92344,Zip,CA,CA,Hesperia,Riverside-San Bernardino-Ontario,San Bernardino County,337253
399681,7808,94505,Zip,CA,CA,Discovery Bay,San Francisco-Oakland-Hayward,Contra Costa County,649307
97896,7826,94960,Zip,CA,CA,San Anselmo,San Francisco-Oakland-Hayward,Marin County,1267885
97436,7837,93728,Zip,CA,CA,Fresno,Fresno,Fresno County,204798
97242,7863,93402,Zip,CA,CA,Los Osos,San Luis Obispo-Paso Robles-Arroyo Grande,San Luis Obispo County,621741
97376,7865,93631,Zip,CA,CA,Kingsburg,Fresno,Fresno County,299563
96930,7880,92587,Zip,CA,CA,Canyon Lake,Riverside-San Bernardino-Ontario,Riverside County,437033
97865,7917,94920,Zip,CA,CA,Tiburon,San Francisco-Oakland-Hayward,Marin County,3069519
96539,7931,91902,Zip,CA,CA,Bonita,San Diego-Carlsbad,San Diego County,747775
98006,7945,95138,Zip,CA,CA,San Jose,San Jose-Sunnyvale-Santa Clara,Santa Clara County,1411392
97899,7951,94965,Zip,CA,CA,Sausalito,San Francisco-Oakland-Hayward,Marin County,1540793
97483,7961,93927,Zip,CA,CA,Greenfield,Salinas,Monterey County,359256
97479,7963,93923,Zip,CA,CA,Carmel-by-the-Sea,Salinas,Monterey County,1801390
98166,7967,95391,Zip,CA,CA,Tracy,Stockton-Lodi,San Joaquin County,664534
97715,7984,94507,Zip,CA,CA,Alamo,San Francisco-Oakland-Hayward,Contra Costa County,2044513
98505,7987,95954,Zip,CA,CA,Magalia,Chico,Butte County,236309
96736,7996,92225,Zip,CA,CA,Blythe,Riverside-San Bernardino-Ontario,Riverside County,165364
97064,7999,92866,Zip,CA,CA,Orange,Los Angeles-Long Beach-Anaheim,Orange County,744971
97762,8012,94556,Zip,CA,CA,Moraga,San Francisco-Oakland-Hayward,Contra Costa County,1877228
97964,8030,95066,Zip,CA,CA,Scotts Valley,Santa Cruz-Watsonville,Santa Cruz County,998858
96072,8052,90094,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,1931073
97198,8093,93268,Zip,CA,CA,Taft,Bakersfield,Kern County,138424
97922,8105,95010,Zip,CA,CA,Capitola,Santa Cruz-Watsonville,Santa Cruz County,1000644
97843,8114,94709,Zip,CA,CA,Berkeley,San Francisco-Oakland-Hayward,Alameda County,1555315
98120,8152,95338,Zip,CA,CA,Mariposa,,Mariposa County,307079
98077,8161,95252,Zip,CA,CA,Valley Springs,,Calaveras County,364569
96426,8183,91436,Zip,CA,CA,Los Angeles,Los Angeles-Long Beach-Anaheim,Los Angeles County,1896711
96148,8224,90401,Zip,CA,CA,Santa Monica,Los Angeles-Long Beach-Anaheim,Los Angeles County,2337006
97181,8247,93247,Zip,CA,CA,Lindsay,Visalia-Porterville,Tulare County,210526
97270,8256,93442,Zip,CA,CA,Morro Bay,San Luis Obispo-Paso Robles-Arroyo Grande,San Luis Obispo County,697664
98037,8264,95203,Zip,CA,CA,Stockton,Stockton-Lodi,San Joaquin County,277203
97217,8267,93301,Zip,CA,CA,Bakersfield,Bakersfield,Kern County,216486
97052,8267,92845,Zip,CA,CA,Garden Grove,Los Angeles-Long Beach-Anaheim,Orange County,749236
98211,8276,95451,Zip,CA,CA,Kelseyville,Clearlake,Lake County,295973
